Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	EC number	Organism (ID)	Rhea ID	AlphaFoldDB	PDB	BRENDA	BioCyc	PathwayCommons	SABIO-RK	Reactome	PlantReactome	SIGNOR	SignaLink	UniPathway
Q9WVT6	reviewed	CAH14_MOUSE	Carbonic anhydrase 14 (EC 4.2.1.1) (Carbonate dehydratase XIV) (Carbonic anhydrase XIV) (CA-XIV)	Ca14 Car14 Catm	Mus musculus (Mouse)	4.2.1.1	10090	RHEA:10748	Q9WVT6;	1RJ5;1RJ6;	4.2.1.1;				R-MMU-1475029;				
Q9Y217	reviewed	MTMR6_HUMAN	Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR6	Homo sapiens (Human)	3.1.3.64; 3.1.3.95	9606	RHEA:39019 RHEA:12316 RHEA:45632 RHEA:42328	Q9Y217;	2YF0;	3.1.3.95;		Q9Y217;		R-HSA-1660499;			Q9Y217;	
Q9Y223	reviewed	GLCNE_HUMAN	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	GNE GLCNE IBM2	Homo sapiens (Human)	2.7.1.60; 3.2.1.183	9606	RHEA:30683 RHEA:23832	Q9Y223;	2YHW;2YHY;2YI1;3EO3;4ZHT;	2.7.1.60;3.2.1.183;5.1.3.14;		Q9Y223;		R-HSA-4085001;R-HSA-4085011;		Q9Y223;	Q9Y223;	UPA00630;
Q9Y227	reviewed	ENTP4_HUMAN	Ectonucleoside triphosphate diphosphohydrolase 4 (NTPDase 4) (EC 3.6.1.15) (EC 3.6.1.6) (Golgi UDPase) (Lysosomal apyrase-like protein of 70 kDa) (Uridine-diphosphatase) (UDPase) (EC 3.6.1.42)	ENTPD4 KIAA0392 LALP70 LYSAL1	Homo sapiens (Human)	3.6.1.15; 3.6.1.42; 3.6.1.6	9606	RHEA:36799 RHEA:23680 RHEA:64876 RHEA:64900 RHEA:29387 RHEA:22156 RHEA:19669 RHEA:65580	Q9Y227;	6WG5;		MetaCyc:HS09501-MONOMER;	Q9Y227;		R-HSA-8850843;			Q9Y227;	
Q9Y230	reviewed	RUVB2_HUMAN	RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)	RUVBL2 INO80J TIP48 TIP49B CGI-46	Homo sapiens (Human)	3.6.4.12	9606	RHEA:13065	Q9Y230;	2CQA;2XSZ;3UK6;5OAF;6FO1;6H7X;6HTS;6IGM;6K0R;6QI8;6QI9;7AHO;7OLE;7P6X;7ZI4;			Q9Y230;		R-HSA-171319;R-HSA-3214847;		Q9Y230;	Q9Y230;	
Q9Y231	reviewed	FUT9_HUMAN	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase 9 (EC 2.4.1.152) (Fucosyltransferase 9) (Fucosyltransferase IX) (Fuc-TIX) (FucT-IX) (Galactoside 3-L-fucosyltransferase)	FUT9	Homo sapiens (Human)	2.4.1.152	9606	RHEA:14257 RHEA:68044 RHEA:48388 RHEA:48380 RHEA:48376 RHEA:56076 RHEA:77187 RHEA:77191	Q9Y231;	8D0O;8D0P;8D0Q;8D0R;8D0S;8D0U;8D0W;8D0X;	2.4.1.152;	MetaCyc:HS10520-MONOMER;	Q9Y231;		R-HSA-9037629;			Q9Y231;	UPA00378;
Q9Y232	reviewed	CDYL_HUMAN	Chromodomain Y-like protein (CDY-like) (Crotonyl-CoA hydratase) (EC 4.2.1.-)	CDYL CDYL1	Homo sapiens (Human)	4.2.1.-	9606	RHEA:45584	Q9Y232;	2DNT;2GTR;7N27;	4.2.1.150;		Q9Y232;	Q9Y232;				Q9Y232;	
Q9Y233	reviewed	PDE10_HUMAN	cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A (EC 3.1.4.17)	PDE10A	Homo sapiens (Human)	3.1.4.17	9606	RHEA:14653 RHEA:25277 RHEA:16957	Q9Y233;	2OUN;2OUP;2OUQ;2OUR;2OUS;2OUU;2OUV;2OUY;2WEY;2Y0J;2ZMF;3SN7;3SNI;3SNL;3UI7;3UUO;3WI2;3WS8;3WS9;3WYK;3WYL;3WYM;4AEL;4AJD;4AJF;4AJG;4AJM;4BBX;4DDL;4DFF;4FCB;4FCD;4HEU;4HF4;4LKQ;4LLJ;4LLK;4LLP;4LLX;4LM0;4LM1;4LM2;4LM3;4LM4;4MRW;4MRZ;4MS0;4MSA;4MSC;4MSE;4MSH;4MSN;4MUW;4MVH;4P0N;4P1R;4PHW;4TPM;4TPP;4WN1;4XY2;4YQH;4YS7;4ZO5;5AXP;5AXQ;5B4K;5B4L;5C1W;5C28;5C29;5C2A;5C2E;5C2H;5DH4;5DH5;5EDE;5EDG;5EDH;5EDI;5I2R;5K9R;5SDU;5SDV;5SDW;5SDX;5SDY;5SDZ;5SE0;5SE1;5SE2;5SE3;5SE4;5SE5;5SE6;5SE7;5SE8;5SE9;5SEA;5SEB;5SEC;5SED;5SEE;5SEF;5SEG;5SEH;5SEI;5SEJ;5SEK;5SEL;5SEM;5SEN;5SEO;5SEP;5SEQ;5SER;5SES;5SET;5SEU;5SEV;5SEW;5SEX;5SEY;5SEZ;5SF0;5SF1;5SF2;5SF3;5SF4;5SF5;5SF6;5SF7;5SF8;5SF9;5SFA;5SFB;5SFC;5SFD;5SFE;5SFF;5SFG;5SFH;5SFI;5SFJ;5SFK;5SFL;5SFM;5SFN;5SFO;5SFP;5SFQ;5SFR;5SFS;5SFT;5SFU;5SFV;5SFW;5SFX;5SFY;5SFZ;5SG0;5SG1;5SG2;5SG3;5SG4;5SG5;5SG6;5SG7;5SG8;5SG9;5SGB;5SGC;5SGD;5SGE;5SGF;5SGG;5SGH;5SGI;5SGJ;5SGK;5SGL;5SGM;5SGN;5SGO;5SGP;5SGQ;5SGR;5SGS;5SGT;5SGU;5SGV;5SGW;5SGX;5SGY;5SGZ;5SH0;5SH1;5SH2;5SH3;5SH4;5SH5;5SH6;5SH7;5SH8;5SH9;5SHA;5SHB;5SHC;5SHD;5SHE;5SHF;5SHG;5SHH;5SHI;5SHJ;5SHK;5SHL;5SHM;5SHN;5SHO;5SHP;5SHQ;5SHR;5SHS;5SHT;5SHU;5SHV;5SHW;5SHX;5SHY;5SHZ;5SI0;5SI1;5SI2;5SI3;5SI4;5SI5;5SI6;5SI7;5SI8;5SI9;5SIA;5SIB;5SID;5SIE;5SIF;5SIG;5SIH;5SII;5SIJ;5SIK;5SIL;5SIM;5SIN;5SIO;5SIP;5SIQ;5SIR;5SIS;5SIT;5SIU;5SIV;5SIW;5SIX;5SIY;5SIZ;5SJ0;5SJ1;5SJ2;5SJ3;5SJ4;5SJ5;5SJ6;5SJ7;5SJ8;5SJ9;5SJA;5SJB;5SJC;5SJD;5SJE;5SJF;5SJG;5SJH;5SJI;5SJJ;5SJK;5SJL;5SJM;5SJN;5SJO;5SJP;5SJQ;5SJR;5SJS;5SJT;5SJU;5SJV;5SJW;5SJX;5SJY;5SJZ;5SK0;5SK1;5SK2;5SK3;5SK4;5SK5;5SK6;5SK7;5SK8;5SK9;5SKA;5SKB;5SKC;5SKD;5SKE;5SKF;5SKG;5SKH;5SKI;5SKJ;5SKK;5SKL;5SKM;5SKN;5SKO;5SKP;5SKQ;5SKR;5SKS;5SKT;5SKU;5SKV;5UWF;5XUI;5XUJ;5ZNL;6IJH;6IJI;6KDX;6KDZ;6KE0;6KO0;6KO1;6KZE;6MSA;6MSC;7BPI;7QPF;7QPM;7QPQ;7QPV;7QQ4;8DI4;	3.1.4.17;		Q9Y233;	Q9Y233;	R-HSA-418457;R-HSA-418555;		Q9Y233;	Q9Y233;	UPA00762;UPA00763;
Q9Y235	reviewed	ABEC2_HUMAN	C->U-editing enzyme APOBEC-2 (EC 3.5.4.36) (mRNA(cytosine(6666)) deaminase 2)	APOBEC2	Homo sapiens (Human)	3.5.4.36	9606	RHEA:21772	Q9Y235;	2NYT;			Q9Y235;		R-HSA-72200;R-HSA-75094;				
Q9Y237	reviewed	PIN4_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 (EC 5.2.1.8) (Parvulin-14) (Par14) (hPar14) (Parvulin-17) (Par17) (hPar17) (Peptidyl-prolyl cis-trans isomerase Pin4) (PPIase Pin4) (Peptidyl-prolyl cis/trans isomerase EPVH) (hEPVH) (Rotamase Pin4)	PIN4	Homo sapiens (Human)	5.2.1.8	9606	RHEA:16237	Q9Y237;	1EQ3;1FJD;3UI4;3UI5;3UI6;			Q9Y237;				Q9Y237;	Q9Y237;	
Q9Y243	reviewed	AKT3_HUMAN	RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2)	AKT3 PKBG	Homo sapiens (Human)	2.7.11.1	9606	RHEA:17989 RHEA:46608	Q9Y243;	2X18;	2.7.11.1;		Q9Y243;	Q9Y243;	R-HSA-111447;R-HSA-1257604;R-HSA-1358803;R-HSA-198323;R-HSA-198693;R-HSA-199418;R-HSA-211163;R-HSA-389357;R-HSA-389513;R-HSA-392451;R-HSA-5218920;R-HSA-5628897;R-HSA-5674400;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-69202;R-HSA-69656;R-HSA-8876198;R-HSA-8941332;R-HSA-8948751;R-HSA-9607240;R-HSA-9614399;R-HSA-9634638;R-HSA-9755511;R-HSA-9755779;		Q9Y243;	Q9Y243;	
Q9Y251	reviewed	HPSE_HUMAN	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	HPSE HEP HPA HPA1 HPR1 HPSE1 HSE1	Homo sapiens (Human)	3.2.1.166	9606		Q9Y251;	5E8M;5E97;5E98;5E9B;5E9C;5L9Y;5L9Z;5LA4;5LA7;6ZDM;7PR7;7PR8;7PRT;7RG8;7YI7;7YJC;8B0B;8B0C;8BAC;8E07;8E08;8JYG;	3.2.1.166;	MetaCyc:ENSG00000173083-MONOMER;	Q9Y251;		R-HSA-2024096;R-HSA-6798695;		Q9Y251;	Q9Y251;	
Q9Y253	reviewed	POLH_HUMAN	DNA polymerase eta (EC 2.7.7.7) (RAD30 homolog A) (Xeroderma pigmentosum variant type protein)	POLH RAD30 RAD30A XPV	Homo sapiens (Human)	2.7.7.7	9606	RHEA:22508	Q9Y253;	2I5O;2LSK;3JAA;3MR2;3MR3;3MR5;3MR6;3SI8;3TQ1;3WUP;4DL2;4DL3;4DL4;4DL5;4DL6;4DL7;4ECQ;4ECR;4ECS;4ECT;4ECU;4ECV;4ECW;4ECX;4ECY;4ECZ;4ED0;4ED1;4ED2;4ED3;4ED6;4ED7;4ED8;4EEY;4J9K;4J9L;4J9M;4J9N;4J9O;4J9P;4J9Q;4J9R;4J9S;4O3N;4O3O;4O3P;4O3Q;4O3R;4O3S;4Q8E;4Q8F;4RNM;4RNN;4RNO;4RU9;4YP3;4YQW;4YR0;4YR2;4YR3;5DG7;5DG8;5DG9;5DGA;5DGB;5DLF;5DLG;5DQG;5DQH;5DQI;5EWE;5EWF;5EWG;5F9L;5F9N;5JUM;5KFA;5KFB;5KFC;5KFD;5KFE;5KFF;5KFG;5KFH;5KFI;5KFJ;5KFK;5KFL;5KFM;5KFN;5KFO;5KFP;5KFQ;5KFR;5KFS;5KFT;5KFU;5KFV;5KFW;5KFX;5KFY;5KFZ;5KG0;5KG1;5KG2;5KG3;5KG4;5KG5;5KG6;5KG7;5L1I;5L1J;5L1K;5L1L;5L9X;6D0M;6D0Z;6M7O;6M7P;6M7T;6M7U;6M7V;6MP3;6MQ8;6MXO;6PL7;6PL8;6PLC;6PZ3;6Q02;6UI2;6UQI;6V5K;6W5X;6WK6;7L69;7LCD;7M7L;7M7M;7M7N;7M7O;7M7P;7M7Q;7M7R;7M7S;7M7T;7M7U;7M7Y;7M7Z;7M80;7M81;7M82;7M83;7M84;7M85;7M86;7M87;7M88;7M89;7M8A;7M8B;7M8C;7M8D;7U72;7U73;7U74;7U75;7U76;7U77;7U78;7U79;7U7A;7U7B;7U7C;7U7D;7U7E;7U7F;7U7G;7U7I;7U7J;7U7K;7U7L;7U7R;7U7S;7U7T;7U7U;7U7V;7U7W;7U7X;7U7Y;7U7Z;7U80;7U81;7U82;7U83;7U84;8E85;8E86;8E87;8E88;8E89;8E8A;8E8B;8E8C;8E8D;8E8E;8E8F;8E8G;8E8H;8E8J;8E8K;8EVE;8EVF;8FN3;8FOG;8GKR;8GML;8SKI;	2.7.7.7;		Q9Y253;	Q9Y253;	R-HSA-110320;R-HSA-5656169;R-HSA-5685942;		Q9Y253;	Q9Y253;	
Q9Y255	reviewed	PRLD1_HUMAN	PRELI domain-containing protein 1, mitochondrial (25 kDa protein of relevant evolutionary and lymphoid interest) (Px19-like protein)	PRELID1 PRELI CGI-106 SBBI12	Homo sapiens (Human)		9606	RHEA:36435	Q9Y255;	6I3V;6I3Y;			Q9Y255;		R-HSA-6803204;			Q9Y255;	
Q9Y259	reviewed	CHKB_HUMAN	Choline/ethanolamine kinase (Choline kinase beta) (CK) (CKB) (EC 2.7.1.32) (Choline kinase-like protein) (Ethanolamine kinase) (EK) (EC 2.7.1.82) (Ethanolamine kinase beta) (EKB) (choline/ethanolamine kinase beta) (CKEKB)	CHKB CHETK CHKL	Homo sapiens (Human)	2.7.1.32; 2.7.1.82	9606	RHEA:12837 RHEA:13069	Q9Y259;	2IG7;3FEG;3LQ3;	2.7.1.32;		Q9Y259;	Q9Y259;	R-HSA-1483191;R-HSA-1483213;			Q9Y259;	UPA00558;
Q9Y265	reviewed	RUVB1_HUMAN	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	RUVBL1 INO80H NMP238 TIP49 TIP49A	Homo sapiens (Human)	3.6.4.12	9606	RHEA:13065	Q9Y265;	2C9O;2XSZ;5OAF;6FO1;6HTS;6IGM;6K0R;6QI8;6QI9;7AHO;7OLE;7P6X;7ZI4;			Q9Y265;		R-HSA-171319;R-HSA-201722;R-HSA-3214847;R-HSA-5689603;R-HSA-5689880;R-HSA-5696394;R-HSA-606279;		Q9Y265;	Q9Y265;	
Q9Y285	reviewed	SYFA_HUMAN	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (CML33) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	FARSA FARS FARSL FARSLA	Homo sapiens (Human)	6.1.1.20	9606	RHEA:19413	Q9Y285;	3L4G;	6.1.1.20;		Q9Y285;		R-HSA-379716;		Q9Y285;	Q9Y285;	
Q9Y295	reviewed	DRG1_HUMAN	Developmentally-regulated GTP-binding protein 1 (DRG-1) (Neural precursor cell expressed developmentally down-regulated protein 3) (NEDD-3) (Translation factor GTPase DRG1) (TRAFAC GTPase DRG1) (EC 3.6.5.-)	DRG1 NEDD3	Homo sapiens (Human)	3.6.5.-	9606	RHEA:19669	Q9Y295;	2EKI;			Q9Y295;		R-HSA-9629569;		Q9Y295;	Q9Y295;	
Q9Y2G5	reviewed	OFUT2_HUMAN	GDP-fucose protein O-fucosyltransferase 2 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 2) (O-FucT-2)	POFUT2 C21orf80 FUT13 KIAA0958	Homo sapiens (Human)	2.4.1.221	9606	RHEA:63644 RHEA:70491	Q9Y2G5;	4AP5;4AP6;	2.4.1.221;		Q9Y2G5;		R-HSA-5173214;			Q9Y2G5;	UPA00378;
Q9Y2H1	reviewed	ST38L_HUMAN	Serine/threonine-protein kinase 38-like (EC 2.7.11.1) (NDR2 protein kinase) (Nuclear Dbf2-related kinase 2)	STK38L KIAA0965 NDR2	Homo sapiens (Human)	2.7.11.1	9606	RHEA:17989 RHEA:46608	Q9Y2H1;	5XQZ;			Q9Y2H1;				Q9Y2H1;	Q9Y2H1;	
Q9Y2H2	reviewed	SAC2_HUMAN	Phosphatidylinositide phosphatase SAC2 (EC 3.1.3.25) (Inositol polyphosphate 5-phosphatase F) (Sac domain-containing inositol phosphatase 2) (Sac domain-containing phosphoinositide 4-phosphatase 2) (hSAC2)	INPP5F KIAA0966 SAC2 MSTP007 MSTP047	Homo sapiens (Human)	3.1.3.25	9606	RHEA:24056	Q9Y2H2;	4XUU;		MetaCyc:HS12255-MONOMER;	Q9Y2H2;	Q9Y2H2;	R-HSA-1660516;			Q9Y2H2;	
Q9Y2H9	reviewed	MAST1_HUMAN	Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)	MAST1 KIAA0973 SAST	Homo sapiens (Human)	2.7.11.1	9606	RHEA:17989 RHEA:46608	Q9Y2H9;	2M9X;3PS4;			Q9Y2H9;				Q9Y2H9;	Q9Y2H9;	
Q9Y2I7	reviewed	FYV1_HUMAN	1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Serine-protein kinase PIKFYVE) (EC 2.7.11.1)	PIKFYVE KIAA0981 PIP5K3	Homo sapiens (Human)	2.7.1.150; 2.7.11.1	9606	RHEA:13609 RHEA:44680 RHEA:17989	Q9Y2I7;	7K2V;	2.7.1.150;2.7.1.68;	MetaCyc:HS03825-MONOMER;	Q9Y2I7;		R-HSA-1660514;R-HSA-1660516;R-HSA-1660517;		Q9Y2I7;	Q9Y2I7;	
Q9Y2J8	reviewed	PADI2_HUMAN	Protein-arginine deiminase type-2 (EC 3.5.3.15) (PAD-H19) (Peptidylarginine deiminase II) (Protein-arginine deiminase type II)	PADI2 KIAA0994 PAD2 PDI2	Homo sapiens (Human)	3.5.3.15	9606	RHEA:18089	Q9Y2J8;	4N20;4N22;4N24;4N25;4N26;4N28;4N2A;4N2B;4N2C;4N2D;4N2E;4N2F;4N2G;4N2H;4N2I;4N2K;4N2L;4N2M;4N2N;	3.5.3.15;3.5.3.6;	MetaCyc:HS04094-MONOMER;	Q9Y2J8;		R-HSA-3247509;R-HSA-6798695;			Q9Y2J8;	
Q9Y2K6	reviewed	UBP20_HUMAN	Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20) (VHL-interacting deubiquitinating enzyme 2) (hVDU2)	USP20 KIAA1003 LSFR3A VDU2	Homo sapiens (Human)	3.4.19.12	9606		Q9Y2K6;	6KCZ;			Q9Y2K6;		R-HSA-5689880;		Q9Y2K6;	Q9Y2K6;	
Q9Y2K7	reviewed	KDM2A_HUMAN	Lysine-specific demethylase 2A (EC 1.14.11.27) (CXXC-type zinc finger protein 8) (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina) (F-box/LRR-repeat protein 11) (JmjC domain-containing histone demethylation protein 1A) ([Histone-H3]-lysine-36 demethylase 1A)	KDM2A CXXC8 FBL11 FBL7 FBXL11 JHDM1A KIAA1004	Homo sapiens (Human)	1.14.11.27	9606	RHEA:42032	Q9Y2K7;	2YU1;2YU2;4BBQ;6BYH;6C16;7UV9;		MetaCyc:HS10620-MONOMER;	Q9Y2K7;		R-HSA-3214842;		Q9Y2K7;	Q9Y2K7;	
Q9Y2M0	reviewed	FAN1_HUMAN	Fanconi-associated nuclease 1 (EC 3.1.21.-) (EC 3.1.4.1) (FANCD2/FANCI-associated nuclease 1) (hFAN1) (Myotubularin-related protein 15)	FAN1 KIAA1018 MTMR15	Homo sapiens (Human)	3.1.21.-; 3.1.4.1	9606		Q9Y2M0;	4REA;4REB;4REC;4RI8;4RI9;4RIA;4RIB;4RIC;4RID;4RY3;			Q9Y2M0;		R-HSA-6783310;			Q9Y2M0;	
Q9Y2Q0	reviewed	AT8A1_HUMAN	Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)	ATP8A1 ATPIA	Homo sapiens (Human)	7.6.2.1	9606	RHEA:38567	Q9Y2Q0;	6K7G;6K7H;6K7I;6K7J;6K7K;6K7L;6K7M;6K7N;	7.6.2.1;		Q9Y2Q0;		R-HSA-6798695;R-HSA-936837;			Q9Y2Q0;	
Q9Y2Q3	reviewed	GSTK1_HUMAN	Glutathione S-transferase kappa 1 (EC 2.5.1.18) (GST 13-13) (GST class-kappa) (GSTK1-1) (hGSTK1) (Glutathione S-transferase subunit 13)	GSTK1 HDCMD47P	Homo sapiens (Human)	2.5.1.18	9606	RHEA:16437	Q9Y2Q3;	1YZX;3RPN;3RPP;			Q9Y2Q3;		R-HSA-156590;R-HSA-9033241;			Q9Y2Q3;	
Q9Y2R2	reviewed	PTN22_HUMAN	Tyrosine-protein phosphatase non-receptor type 22 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase 70Z-PEP) (Lymphoid phosphatase) (LyP) (PEST-domain phosphatase) (PEP)	PTPN22 PTPN8	Homo sapiens (Human)	3.1.3.48	9606	RHEA:10684 RHEA:56532	Q9Y2R2;	2P6X;2QCJ;2QCT;3BRH;3H2X;3OLR;3OMH;4J51;7AAM;	3.1.3.48;		Q9Y2R2;		R-HSA-202427;R-HSA-202430;		Q9Y2R2;	Q9Y2R2;	
Q9Y2R4	reviewed	DDX52_HUMAN	Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52)	DDX52 ROK1 HUSSY-19	Homo sapiens (Human)	3.6.4.13	9606	RHEA:13065	Q9Y2R4;	3DKP;			Q9Y2R4;		R-HSA-6790901;R-HSA-6791226;			Q9Y2R4;	
Q9Y2S2	reviewed	CRYL1_HUMAN	Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH)	CRYL1 CRY	Homo sapiens (Human)	1.1.1.45	9606	RHEA:12889	Q9Y2S2;	3F3S;			Q9Y2S2;	Q9Y2S2;	R-HSA-5661270;			Q9Y2S2;	
Q9Y2T3	reviewed	GUAD_HUMAN	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH) (p51-nedasin)	GDA KIAA1258	Homo sapiens (Human)	3.5.4.3	9606	RHEA:14665	Q9Y2T3;	2UZ9;3E0L;4AQL;	3.5.4.3;	MetaCyc:HS04276-MONOMER;	Q9Y2T3;	Q9Y2T3;	R-HSA-74259;		Q9Y2T3;	Q9Y2T3;	UPA00603;
Q9Y2U5	reviewed	M3K2_HUMAN	Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)	MAP3K2 MAPKKK2 MEKK2	Homo sapiens (Human)	2.7.11.25	9606	RHEA:17989 RHEA:46608	Q9Y2U5;	2CU1;2NPT;5EX0;5HQ8;6LDV;6LDW;6LDX;6LDY;	2.7.12.2;		Q9Y2U5;				Q9Y2U5;	Q9Y2U5;	
Q9Y2Z4	reviewed	SYYM_HUMAN	Tyrosine--tRNA ligase, mitochondrial (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	YARS2 CGI-04	Homo sapiens (Human)	6.1.1.1	9606	RHEA:10220	Q9Y2Z4;	2PID;3ZXI;	6.1.1.1;		Q9Y2Z4;		R-HSA-379726;		Q9Y2Z4;	Q9Y2Z4;	
Q9Y303	reviewed	NAGA_HUMAN	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25) (Amidohydrolase domain-containing protein 2)	AMDHD2 CGI-14	Homo sapiens (Human)	3.5.1.25	9606	RHEA:22936	Q9Y303;	7NUT;7NUU;			Q9Y303;		R-HSA-446210;			Q9Y303;	UPA00629;
Q9Y314	reviewed	NOSIP_HUMAN	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)	NOSIP CGI-25	Homo sapiens (Human)	2.3.2.27	9606		Q9Y314;	8C6J;			Q9Y314;		R-HSA-203754;		Q9Y314;	Q9Y314;	
Q9Y397	reviewed	ZDHC9_HUMAN	Palmitoyltransferase ZDHHC9 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 9) (DHHC-9) (DHHC9) (Zinc finger protein 379) (Zinc finger protein 380)	ZDHHC9 CXorf11 ZDHHC10 ZNF379 ZNF380 CGI-89 UNQ261/PRO298	Homo sapiens (Human)	2.3.1.225	9606	RHEA:36683	Q9Y397;	8HF3;	2.3.1.225;		Q9Y397;		R-HSA-9648002;R-HSA-9694548;		Q9Y397;	Q9Y397;	
Q9Y3C6	reviewed	PPIL1_HUMAN	Peptidyl-prolyl cis-trans isomerase-like 1 (PPIase) (EC 5.2.1.8) (Rotamase PPIL1)	PPIL1 CYPL1 CGI-124 UNQ2425/PRO4984	Homo sapiens (Human)	5.2.1.8	9606	RHEA:16237	Q9Y3C6;	1XWN;2K7N;2X7K;5MQF;5XJC;5YZG;5Z56;5Z57;6FF4;6FF7;6ICZ;6ID0;6ID1;6QDV;6ZYM;7QTT;7W59;7W5A;7W5B;8C6J;8CH6;	5.2.1.8;		Q9Y3C6;	Q9Y3C6;	R-HSA-72163;			Q9Y3C6;	
Q9Y3D8	reviewed	KAD6_HUMAN	Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	AK6 CINAP AD-004 CGI-137	Homo sapiens (Human)	2.7.4.3	9606	RHEA:12973 RHEA:13065	Q9Y3D8;	1RKB;3IIJ;3IIK;3IIL;3IIM;5JZV;	2.7.4.3;		Q9Y3D8;		R-HSA-499943;			Q9Y3D8;	
Q9Y3E5	reviewed	PTH2_HUMAN	Peptidyl-tRNA hydrolase 2, mitochondrial (PTH 2) (EC 3.1.1.29) (Bcl-2 inhibitor of transcription 1)	PTRH2 BIT1 PTH2 CGI-147	Homo sapiens (Human)	3.1.1.29	9606	RHEA:54448	Q9Y3E5;	1Q7S;	3.1.1.29;		Q9Y3E5;		R-HSA-5689880;		Q9Y3E5;	Q9Y3E5;	
Q9Y3I0	reviewed	RTCB_HUMAN	RNA-splicing ligase RtcB homolog (EC 6.5.1.8) (3'-phosphate/5'-hydroxy nucleic acid ligase)	RTCB C22orf28 HSPC117	Homo sapiens (Human)	6.5.1.8	9606	RHEA:68076 RHEA:68080	Q9Y3I0;	7P3B;	6.5.1.8;	MetaCyc:ENSG00000100220-MONOMER;	Q9Y3I0;		R-HSA-6784531;			Q9Y3I0;	
